xm_lf,lf2_Sfs,sqrt_h1_h2,h_wf,kn
0.1,2.5,0.8,0.5,0.001152075
0.1,2.5,0.8,0.6,0.001517418
0.1,2.5,0.8,0.8,0.002007309
0.1,2.5,0.8,1,0.002378879
0.1,2.5,0.8,2,0.002657038
0.1,2.5,1,0.5,0.001377551
0.1,2.5,1,0.6,0.001814396
0.1,2.5,1,0.8,0.002400165
0.1,2.5,1,1,0.002844457
0.1,2.5,1,2,0.003177055
0.1,2.5,1.2,0.5,0.001693141
0.1,2.5,1.2,0.6,0.002230065
0.1,2.5,1.2,0.8,0.002950032
0.1,2.5,1.2,1,0.003496108
0.1,2.5,1.2,2,0.003904902
0.1,2.5,1.4,0.5,0.001960361
0.1,2.5,1.4,0.6,0.002582025
0.1,2.5,1.4,0.8,0.00341562
0.1,2.5,1.4,1,0.004047881
0.1,2.5,1.4,2,0.004521193
0.1,2.5,1.6,0.5,0.002263572
0.1,2.5,1.6,0.6,0.002981389
0.1,2.5,1.6,0.8,0.003943917
0.1,2.5,1.6,1,0.004673969
0.1,2.5,1.6,2,0.005220489
0.1,4,0.8,0.5,0.000828082
0.1,4,0.8,0.6,0.00109068
0.1,4,0.8,0.8,0.001442801
0.1,4,0.8,1,0.001709876
0.1,4,0.8,2,0.00190981
0.1,4,1,0.5,0.000990148
0.1,4,1,0.6,0.001304141
0.1,4,1,0.8,0.001725176
0.1,4,1,1,0.002044521
0.1,4,1,2,0.002283584
0.1,4,1.2,0.5,0.001216986
0.1,4,1.2,0.6,0.001602913
0.1,4,1.2,0.8,0.002120406
0.1,4,1.2,1,0.002512911
0.1,4,1.2,2,0.002806742
0.1,4,1.4,0.5,0.001409056
0.1,4,1.4,0.6,0.001855892
0.1,4,1.4,0.8,0.002455059
0.1,4,1.4,1,0.002909511
0.1,4,1.4,2,0.003249716
0.1,4,1.6,0.5,0.001626996
0.1,4,1.6,0.6,0.002142945
0.1,4,1.6,0.8,0.002834785
0.1,4,1.6,1,0.003359527
0.1,4,1.6,2,0.003752352
0.1,6,0.8,0.5,0.000468775
0.1,6,0.8,0.6,0.000617432
0.1,6,0.8,0.8,0.000816767
0.1,6,0.8,1,0.000967958
0.1,6,0.8,2,0.00108114
0.1,6,1,0.5,0.000560521
0.1,6,1,0.6,0.000738271
0.1,6,1,0.8,0.000976619
0.1,6,1,1,0.0011574
0.1,6,1,2,0.001292733
0.1,6,1.2,0.5,0.000688933
0.1,6,1.2,0.6,0.000907406
0.1,6,1.2,0.8,0.001200358
0.1,6,1.2,1,0.001422554
0.1,6,1.2,2,0.001588891
0.1,6,1.4,0.5,0.000797664
0.1,6,1.4,0.6,0.001050617
