xm_lf,lf2_Sfs,sqrt_h1_h2,h_wf,kn
0.1,2.5,0.8,0.5,0.001310764780827107
0.1,2.5,0.8,0.6,0.0017619338177060023
0.1,2.5,0.8,0.8,0.002303336661960677
0.1,2.5,0.8,1.0,0.0027212616645432325
0.1,2.5,0.8,2.0,0.00303470541648015
0.1,2.5,1.0,0.5,0.0015741427508063855
0.1,2.5,1.0,0.6,0.002115967248366554
0.1,2.5,1.0,0.8,0.0027661566454387563
0.1,2.5,1.0,1.0,0.003268057232652386
0.1,2.5,1.0,2.0,0.003644482673062609
0.1,2.5,1.2,0.5,0.001914014481094127
0.1,2.5,1.2,0.6,0.0025728238133547864
0.1,2.5,1.2,0.8,0.003363395012067578
0.1,2.5,1.2,1.0,0.0039736604987932415
0.1,2.5,1.2,2.0,0.00443135961383749
0.1,2.5,1.4,0.5,0.0022338630548578682
0.1,2.5,1.4,0.6,0.003002765193305322
0.1,2.5,1.4,0.8,0.003925447759442268
0.1,2.5,1.4,1.0,0.004637693950846225
0.1,2.5,1.4,2.0,0.0051718785943991935
0.1,2.5,1.6,0.5,0.0025715003715463085
0.1,2.5,1.6,0.6,0.003456618253056813
0.1,2.5,1.6,0.8,0.004518759710869419
0.1,2.5,1.6,1.0,0.005338658380058096
0.1,2.5,1.6,2.0,0.005953582381949605
0.1,3.0,0.8,0.5,0.0011396962914500192
0.1,3.0,0.8,0.6,0.0015319830584346274
0.1,3.0,0.8,0.8,0.002002727178816157
0.1,3.0,0.8,1.0,0.0023661086050755834
0.1,3.0,0.8,2.0,0.0026386446747701533
0.1,3.0,1.0,0.5,0.0013687006864610046
0.1,3.0,1.0,0.6,0.001839811429989249
0.1,3.0,1.0,0.8,0.002405144322223142
0.1,3.0,1.0,1.0,0.0028415416425440414
0.1,3.0,1.0,2.0,0.0031688396327847167
0.1,3.0,1.2,0.5,0.001664215607401449
0.1,3.0,1.2,0.6,0.002237043443282382
0.1,3.0,1.2,0.8,0.0029244368463395014
0.1,3.0,1.2,1.0,0.00345505631536605
0.1,3.0,1.2,2.0,0.003853020917135962
