eta,AR,K
0.0,4,-0.236327
0.01,4,-0.236947
0.02,4,-0.237495
0.03,4,-0.237977
0.04,4,-0.238396
0.05,4,-0.238758
0.06,4,-0.239067
0.07,4,-0.239328
0.08,4,-0.239544
0.09,4,-0.23972
0.1,4,-0.23986
0.11,4,-0.239968
0.12,4,-0.240047
0.13,4,-0.240102
0.14,4,-0.240135
0.15,4,-0.24015
0.16,4,-0.24015
0.17,4,-0.240138
0.18,4,-0.240118
0.19,4,-0.240091
0.2,4,-0.240061
0.21,4,-0.24003
0.22,4,-0.24
0.23,4,-0.239974
0.24,4,-0.239954
0.25,4,-0.239941
0.26,4,-0.239939
0.27,4,-0.239948
0.28,4,-0.239969
0.29,4,-0.240006
0.3,4,-0.240058
0.31,4,-0.240127
0.32,4,-0.240214
0.33,4,-0.24032
0.34,4,-0.240446
0.35,4,-0.240592
0.36,4,-0.240759
0.37,4,-0.240947
0.38,4,-0.241157
0.39,4,-0.241388
0.4,4,-0.241641
0.41,4,-0.241916
0.42,4,-0.242212
0.43,4,-0.242528
0.44,4,-0.242865
0.45,4,-0.243221
0.46,4,-0.243596
0.47,4,-0.243989
0.48,4,-0.244398
0.49,4,-0.244823
0.5,4,-0.245262
0.51,4,-0.245713
0.52,4,-0.246176
0.53,4,-0.246647
0.54,4,-0.247126
0.55,4,-0.24761
0.56,4,-0.248098
0.57,4,-0.248586
0.58,4,-0.249072
0.59,4,-0.249555
0.6,4,-0.25003
0.61,4,-0.250496
0.62,4,-0.250949
0.63,4,-0.251387
0.64,4,-0.251805
0.65,4,-0.252201
0.66,4,-0.252571
0.67,4,-0.252912
0.68,4,-0.25322
0.69,4,-0.25349
0.7,4,-0.253719
0.71,4,-0.253903
0.72,4,-0.254037
0.73,4,-0.254117
0.74,4,-0.254138
0.75,4,-0.254096
0.76,4,-0.253986
0.77,4,-0.253802
0.78,4,-0.253541
0.79,4,-0.253195
0.8,4,-0.252761
0.81,4,-0.252232
0.82,4,-0.251604
0.83,4,-0.250869
0.84,4,-0.250023
0.85,4,-0.249058
0.86,4,-0.24797
0.87,4,-0.246752
0.88,4,-0.245396
0.89,4,-0.243898
0.9,4,-0.242249
0.91,4,-0.240444
0.92,4,-0.238474
0.0,6,-0.164093
0.01,6,-0.164458
0.02,6,-0.164773
0.03,6,-0.165044
0.04,6,-0.165274
0.05,6,-0.165466
0.06,6,-0.165625
0.07,6,-0.165753
0.08,6,-0.165854
0.09,6,-0.165932
0.1,6,-0.16599
0.11,6,-0.16603
0.12,6,-0.166055
0.13,6,-0.166069
0.14,6,-0.166074
0.15,6,-0.166072
0.16,6,-0.166066
0.17,6,-0.166059
0.18,6,-0.166052
