aspect_ratio,clbeta_over_gamma_lambda_0_per_deg2,clbeta_over_gamma_lambda_0_5_per_deg2,clbeta_over_gamma_lambda_1_per_deg2
0,0,0,0
0.5,-2.68e-05,-2.68e-05,-2.68e-05
1,-5.25e-05,-5.25e-05,-5.25e-05
1.5,-7.41e-05,-7.41e-05,-7.41e-05
2,-9.16e-05,-9.16e-05,-9.16e-05
2.5,-0.00011,-0.000114,-0.000114
3,-0.0001138,-0.000128,-0.0001319
3.5,-0.0001269,-0.0001447,-0.0001548
4,-0.0001379,-0.00016,-0.0001652
4.5,-0.0001457,-0.0001755,-0.000179
5,-0.0001578,-0.0001899,-0.000198
5.5,-0.0001672,-0.000205,-0.0002114
6,-0.0001744,-0.0002108,-0.0002228
6.5,-0.0001806,-0.0002207,-0.0002341
7,-0.0001852,-0.00023,-0.0002447
7.5,-0.0001877,-0.0002375,-0.0002543
8,-0.0001863,-0.0002421,-0.0002591
